round_num,venue,date,year,team_1_team_name,team_1_q1_goals,team_1_q1_behinds,team_1_q2_goals,team_1_q2_behinds,team_1_q3_goals,team_1_q3_behinds,team_1_final_goals,team_1_final_behinds,team_2_team_name,team_2_q1_goals,team_2_q1_behinds,team_2_q2_goals,team_2_q2_behinds,team_2_q3_goals,team_2_q3_behinds,team_2_final_goals,team_2_final_behinds
8,M.C.G.,1898-06-25 15:00,1898,Melbourne,2.0,8.0,2.0,11.0,3.0,15.0,5.0,15.0,St Kilda,1.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0
9,Princes Park,1898-07-09 15:00,1898,Carlton,3.0,0.0,3.0,1.0,4.0,4.0,4.0,4.0,Melbourne,0.0,1.0,1.0,8.0,2.0,8.0,3.0,10.0
9,Victoria Park,1898-07-09 15:00,1898,Collingwood,0.0,3.0,0.0,8.0,4.0,10.0,4.0,11.0,Fitzroy,0.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0
9,East Melbourne,1898-07-09 15:00,1898,Essendon,3.0,4.0,4.0,8.0,5.0,10.0,7.0,12.0,South Melbourne,1.0,2.0,1.0,4.0,3.0,5.0,4.0,6.0
9,Junction Oval,1898-07-09 15:00,1898,St Kilda,2.0,1.0,3.0,4.0,3.0,5.0,3.0,7.0,Geelong,4.0,6.0,7.0,9.0,9.0,13.0,13.0,15.0
10,East Melbourne,1898-07-16 15:00,1898,Essendon,1.0,2.0,3.0,4.0,5.0,7.0,10.0,17.0,Carlton,0.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0
10,Victoria Park,1898-07-16 15:00,1898,Collingwood,1.0,5.0,6.0,9.0,7.0,10.0,8.0,11.0,Melbourne,0.0,1.0,0.0,1.0,0.0,4.0,1.0,5.0
10,Brunswick St,1898-07-16 15:00,1898,Fitzroy,4.0,4.0,7.0,5.0,9.0,8.0,9.0,13.0,St Kilda,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0
10,Lake Oval,1898-07-16 15:00,1898,South Melbourne,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,Geelong,0.0,2.0,1.0,3.0,2.0,6.0,3.0,11.0
11,Corio Oval,1898-07-23 15:00,1898,Geelong,4.0,2.0,4.0,2.0,6.0,9.0,8.0,10.0,Carlton,0.0,0.0,3.0,0.0,3.0,0.0,5.0,2.0
11,Victoria Park,1898-07-23 15:00,1898,Collingwood,0.0,2.0,2.0,5.0,5.0,8.0,10.0,13.0,South Melbourne,1.0,4.0,1.0,5.0,1.0,7.0,1.0,7.0
11,Junction Oval,1898-07-23 15:00,1898,St Kilda,0.0,1.0,0.0,5.0,0.0,7.0,1.0,9.0,Essendon,4.0,0.0,7.0,2.0,8.0,6.0,10.0,11.0
11,M.C.G.,1898-07-23 15:00,1898,Melbourne,2.0,2.0,2.0,2.0,5.0,2.0,5.0,3.0,Fitzroy,0.0,1.0,2.0,3.0,3.0,6.0,7.0,8.0
12,Princes Park,1898-07-30 15:00,1898,Carlton,0.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0,Collingwood,1.0,3.0,2.0,6.0,3.0,6.0,3.0,11.0
12,M.C.G.,1898-07-30 15:00,1898,Melbourne,0.0,1.0,0.0,2.0,1.0,5.0,2.0,8.0,Essendon,3.0,2.0,7.0,4.0,8.0,7.0,11.0,9.0
12,Brunswick St,1898-07-30 15:00,1898,Fitzroy,1.0,1.0,1.0,4.0,1.0,7.0,5.0,9.0,Geelong,2.0,3.0,2.0,4.0,3.0,5.0,4.0,6.0
12,Lake Oval,1898-07-30 15:00,1898,South Melbourne,1.0,6.0,4.0,9.0,6.0,9.0,12.0,15.0,St Kilda,1.0,1.0,1.0,2.0,3.0,6.0,3.0,6.0
13,Princes Park,1898-08-13 15:00,1898,Carlton,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,Fitzroy,1.0,0.0,4.0,2.0,5.0,4.0,8.0,6.0
13,Victoria Park,1898-08-13 15:00,1898,Collingwood,1.0,4.0,2.0,4.0,5.0,12.0,8.0,17.0,St Kilda,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
13,East Melbourne,1898-08-13 15:00,1898,Essendon,0.0,1.0,2.0,7.0,3.0,7.0,7.0,13.0,Geelong,1.0,3.0,4.0,3.0,5.0,7.0,5.0,7.0
13,Lake Oval,1898-08-13 15:00,1898,South Melbourne,0.0,2.0,4.0,3.0,4.0,7.0,6.0,7.0,Melbourne,0.0,3.0,2.0,6.0,3.0,7.0,5.0,8.0
14,Junction Oval,1898-08-20 15:00,1898,St Kilda,4.0,1.0,5.0,5.0,5.0,5.0,8.0,7.0,Carlton,2.0,3.0,3.0,4.0,8.0,8.0,10.0,9.0
14,East Melbourne,1898-08-20 15:00,1898,Essendon,0.0,2.0,1.0,9.0,2.0,11.0,2.0,13.0,Collingwood,4.0,1.0,5.0,4.0,5.0,11.0,7.0,14.0
14,Brunswick St,1898-08-20 15:00,1898,Fitzroy,4.0,0.0,5.0,4.0,6.0,7.0,9.0,11.0,South Melbourne,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0
14,Corio Oval,1898-08-20 15:00,1898,Geelong,2.0,1.0,4.0,6.0,6.0,7.0,7.0,9.0,Melbourne,0.0,0.0,0.0,1.0,2.0,4.0,2.0,7.0
15,East Melbourne,1898-08-27 14:30,1898,Essendon,0.0,7.0,2.0,11.0,8.0,14.0,9.0,21.0,Carlton,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
15,Junction Oval,1898-08-27 14:30,1898,St Kilda,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,Collingwood,3.0,1.0,6.0,13.0,8.0,17.0,14.0,19.0
15,Lake Oval,1898-08-27 14:30,1898,South Melbourne,1.0,1.0,2.0,1.0,3.0,1.0,5.0,3.0,Fitzroy,0.0,1.0,0.0,5.0,3.0,8.0,6.0,11.0
15,Corio Oval,1898-08-27 14:30,1898,Geelong,1.0,2.0,6.0,6.0,8.0,11.0,11.0,12.0,Melbourne,1.0,3.0,1.0,3.0,1.0,3.0,2.0,4.0
16,Brunswick St,1898-09-03 14:30,1898,Fitzroy,2.0,7.0,4.0,10.0,8.0,14.0,12.0,18.0,Carlton,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,Victoria Park,1898-09-03 14:30,1898,Collingwood,1.0,3.0,3.0,4.0,5.0,5.0,6.0,9.0,Geelong,2.0,1.0,3.0,2.0,4.0,3.0,4.0,6.0
16,Lake Oval,1898-09-03 14:30,1898,South Melbourne,1.0,2.0,1.0,5.0,1.0,5.0,3.0,6.0,Essendon,3.0,2.0,3.0,3.0,5.0,7.0,5.0,11.0
16,Junction Oval,1898-09-03 14:30,1898,St Kilda,0.0,0.0,1.0,2.0,1.0,2.0,2.0,5.0,Melbourne,2.0,4.0,2.0,6.0,4.0,8.0,5.0,8.0
17,Lake Oval,1898-09-10 14:30,1898,South Melbourne,0.0,1.0,3.0,4.0,5.0,8.0,6.0,11.0,Carlton,0.0,2.0,0.0,2.0,2.0,2.0,3.0,4.0
17,Victoria Park,1898-09-10 14:30,1898,Collingwood,2.0,5.0,5.0,9.0,6.0,10.0,7.0,13.0,Melbourne,3.0,0.0,3.0,0.0,6.0,3.0,6.0,5.0
17,Brunswick St,1898-09-10 14:30,1898,Fitzroy,1.0,1.0,1.0,11.0,2.0,12.0,5.0,15.0,Essendon,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0
17,Corio Oval,1898-09-10 14:30,1898,Geelong,6.0,4.0,8.0,9.0,13.0,14.0,14.0,18.0,St Kilda,0.0,0.0,0.0,1.0,2.0,2.0,4.0,3.0
